status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,
Satisfactory,validation-173,"When user unlock all tokens, remainder value does not delete",Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L426","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L426",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-192,`lockedToken.remainder` is not subtracted when a user `unlock()` his assets,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L424","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L424",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-554,Missing logic to adjust `lockedToken.remainder` during `unlock` permits acquiring subsequent NFT without locking the required amount.,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L426","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L426",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-498,Remainder not being deleted when unlocking tokens will cause some serious complications.,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L430","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L430",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-252,Incorrect accounting of `remainder` can result in user receiving one extra NFT with discounted price,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L431","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L431",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-241,Users Can Steal Nfts From The Lockdrop Because The Reminder Is Not Correctly Accounted For.,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L432","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L432",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-200,Users `remainder` is not reduced while unlocking tokens,Remainder is not cleared after unlock,,Users can't unlock their remainder tokens,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L401-L427,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379-L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L401-L427",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-484,User can earn extra nfts than deserved.,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L427","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L427",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-227,A User can mint NFT with significantly less amount of token  cause `remainder` not handeled in `unlock()`,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L429","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L429",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-358,An attacker can set a user���s `remainder` to 0 when `lockDrop` is over,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L288-L290,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L395,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L288-L290,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L395",validation-355,"DUPE-LockManager-006,DUPE-LockManager-037,DUPE-LockManager-038",
Satisfactory,validation-619,Remainder is reset to 0 when subsequent lock is made outside the Lockdrop Period,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L382,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L382,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-001,DUPE-LockManager-006",
Satisfactory,validation-328,Locking outside of lockdrop periods erase one lock's remainder,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L383,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L383,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-001,DUPE-LockManager-006",
Satisfactory,validation-38,"When a player calls the lock() method outside the lockdrop timeframe, he/she loses the remainder amount",Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L382,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L382,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-001,DUPE-LockManager-006",
Satisfactory,validation-578,`lockedToken.reminder` of a Previous Lock Resets to 0 If User/Attacker Locks Funds Between Two Lockdrop Events,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L391,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L391,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-017",
Satisfactory,validation-525,LockedToken Remainder Tracking will be Emptied and Lost When Block.timestamp is not Within Lock Period Range,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L392,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L392,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-018",
Satisfactory,validation-472,"When `LockManager.lockOnBehalf` is called from `MigrationManager`, the user's `reminder` will be set to 0, resulting in fewer received `MunchableNFTs`",Remainder is reset in lock causing a loss to users,,Remainder is reset if locked during migrations (similar to losing it outside of lockbox periods),https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L393,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L361","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L393,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L361,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-035",
Satisfactory,validation-146,User can lose his remainder for future lockdrop events,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L385,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L385,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-019",
Satisfactory,validation-600,lockedToken.remainder is not handled properly during non-LockDrop period,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L386,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L386,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-020",
Satisfactory,validation-563,`lockedToken.remainder` can get corrupted depending on when `lock()` is called,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L387,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L387,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-021",
Satisfactory,validation-588,Remainder can be cleared by attacker or user themselves unintentionally,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L388,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L388,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",validation-482,"DUPE-LockManager-006,DUPE-LockManager-022",
Satisfactory,validation-382,Users can miss out on some rewards,Remainder is reset in lock causing a loss to users,,Remainder is reset if locked outside of lockbox period,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,validation-482,DUPE-LockManager-006,
